FILE INFORMATION:

   Simulation name: ExIC1b
   Simulation type: Experimental
   Domain:  
   dt: 0.125
   wind_beta: 0.5
   depth: 250
   dz: 10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10
   strt_mon: 6
   strt_day: 1
   days: 180
   dt_save: 60
   lat: 68.98
   rkz_surf: 1e-05
   diagnostics: 1
   biol: 0
   wind_scale: 1
   o2_sat_start: 1
   sat_start: 1
   dn2ar_deep: 0.015
   param: l13

DATA:

time [ ],mld_t [ ],deep_t [ ],mld_s [ ],deep_s [ ],deep_dens [ ],u10 [ ],ice [ ],slp [ ],do2ar [ ],do2n2 [ ],mld [ ],mld_o2sat [ ],mld_arsat [ ],mld_n2sat [ ],ceq_o2 [ ],ceq_ar [ ],ceq_n2 [ ],o2_deep [ ],ar_deep [ ],n2_deep [ ],o2_fd [ ],o2_fc [ ],o2_fp [ ],o2_fk [ ],o2_fw [ ],o2_fN [ ],o2_fe [ ],ar_fd [ ],ar_fc [ ],ar_fp [ ],ar_fk [ ],ar_fw [ ],ar_fe [ ],n2_fd [ ],n2_fc [ ],n2_fp [ ],n2_fk [ ],n2_fw [ ],n2_fe [ ],o2_deq [ ],ar_deq [ ],n2_deq [ ],upw [ ],kz [ ],dn2ar_deep [ ],n2fix [ ],n2pr [ ],n2pr_noMix [ ]
0.000,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,0.000,0.000,12.000,100.000,100.000,100.000,371.363,18.159,665.592,368.932,18.041,670.861,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
0.125,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.002,12.000,99.999,99.999,100.001,371.363,18.159,665.592,368.932,18.041,670.861,-0.000,0.000,0.000,-0.018,-0.004,0.000,0.000,-0.000,0.000,0.000,-0.001,-0.000,0.000,-0.001,0.000,0.000,0.038,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
0.250,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.003,12.000,99.999,99.999,100.002,371.363,18.159,665.592,368.932,18.041,670.861,-0.000,0.000,0.000,-0.017,-0.004,0.000,0.000,-0.000,0.000,0.000,-0.001,-0.000,0.000,-0.001,0.000,0.000,0.038,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
0.375,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.005,12.000,99.998,99.998,100.003,371.363,18.159,665.592,368.932,18.041,670.861,-0.000,0.000,0.000,-0.017,-0.004,0.000,0.000,-0.000,0.000,0.000,-0.001,-0.000,0.000,-0.001,0.000,0.000,0.038,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
0.500,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.006,12.000,99.997,99.997,100.003,371.363,18.159,665.592,368.932,18.041,670.861,0.000,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.001,0.000,0.000,0.038,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
0.625,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.008,12.000,99.996,99.996,100.004,371.363,18.159,665.592,368.932,18.041,670.861,0.000,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.002,0.000,0.000,0.038,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
0.750,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.009,12.000,99.996,99.996,100.005,371.363,18.159,665.592,368.932,18.041,670.861,0.000,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.002,0.000,0.000,0.038,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
0.875,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.011,12.000,99.995,99.995,100.006,371.363,18.159,665.592,368.932,18.041,670.861,0.000,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.002,0.000,0.000,0.038,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
1.000,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.013,12.000,99.994,99.994,100.007,371.363,18.159,665.592,368.932,18.041,670.861,0.001,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.002,0.000,0.000,0.038,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
1.125,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.014,12.000,99.994,99.994,100.008,371.363,18.159,665.592,368.932,18.041,670.861,0.001,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.002,0.000,0.000,0.038,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
1.250,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.016,12.000,99.993,99.993,100.008,371.363,18.159,665.592,368.932,18.041,670.861,0.001,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.003,0.000,0.000,0.038,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
1.375,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.017,12.000,99.992,99.992,100.009,371.363,18.159,665.592,368.932,18.041,670.861,0.001,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.003,0.000,0.000,0.038,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
1.500,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.019,12.000,99.991,99.992,100.010,371.363,18.159,665.592,368.932,18.041,670.861,0.001,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.003,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
1.625,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.020,12.000,99.991,99.991,100.011,371.363,18.159,665.592,368.932,18.041,670.861,0.001,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.003,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
1.750,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.022,12.000,99.990,99.990,100.012,371.363,18.159,665.592,368.932,18.041,670.861,0.001,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.004,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
1.875,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.023,12.000,99.989,99.990,100.012,371.363,18.159,665.592,368.932,18.041,670.861,0.001,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.004,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
2.000,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.024,12.000,99.989,99.989,100.013,371.363,18.159,665.592,368.932,18.041,670.861,0.001,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.004,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
2.125,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.026,12.000,99.988,99.988,100.014,371.363,18.159,665.592,368.932,18.041,670.861,0.002,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.004,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
2.250,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.027,12.000,99.987,99.988,100.015,371.363,18.159,665.592,368.932,18.041,670.861,0.002,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.004,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
2.375,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.029,12.000,99.987,99.987,100.016,371.363,18.159,665.592,368.932,18.041,670.861,0.002,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.005,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
2.500,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.030,12.000,99.986,99.986,100.016,371.363,18.159,665.592,368.932,18.041,670.861,0.002,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.005,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
2.625,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.032,12.000,99.985,99.986,100.017,371.363,18.159,665.592,368.932,18.041,670.861,0.002,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.005,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
2.750,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.033,12.000,99.985,99.985,100.018,371.363,18.159,665.592,368.932,18.041,670.861,0.002,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.005,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
2.875,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.034,12.000,99.984,99.984,100.019,371.363,18.159,665.592,368.932,18.041,670.861,0.002,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.006,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
3.000,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.036,12.000,99.984,99.984,100.019,371.363,18.159,665.592,368.932,18.041,670.861,0.002,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.006,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
3.125,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.037,12.000,99.983,99.983,100.020,371.363,18.159,665.592,368.932,18.041,670.861,0.002,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.006,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
3.250,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.039,12.000,99.982,99.983,100.021,371.363,18.159,665.592,368.932,18.041,670.861,0.002,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.006,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
3.375,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.040,12.000,99.982,99.982,100.022,371.363,18.159,665.592,368.932,18.041,670.861,0.003,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.006,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
3.500,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.041,12.000,99.981,99.981,100.022,371.363,18.159,665.592,368.932,18.041,670.861,0.003,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.007,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
3.625,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.043,12.000,99.980,99.981,100.023,371.363,18.159,665.592,368.932,18.041,670.861,0.003,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.007,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
3.750,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.044,12.000,99.980,99.980,100.024,371.363,18.159,665.592,368.932,18.041,670.861,0.003,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.007,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
3.875,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.045,12.000,99.979,99.980,100.025,371.363,18.159,665.592,368.932,18.041,670.861,0.003,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.007,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
4.000,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.047,12.000,99.979,99.979,100.025,371.363,18.159,665.592,368.932,18.041,670.861,0.003,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.007,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
4.125,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.048,12.000,99.978,99.979,100.026,371.363,18.159,665.592,368.932,18.041,670.861,0.003,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.008,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
4.250,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.049,12.000,99.977,99.978,100.027,371.363,18.159,665.592,368.932,18.041,670.861,0.003,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.008,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
4.375,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.050,12.000,99.977,99.977,100.027,371.363,18.159,665.592,368.932,18.041,670.861,0.003,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.008,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
4.500,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.052,12.000,99.976,99.977,100.028,371.363,18.159,665.592,368.932,18.041,670.861,0.003,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.008,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
4.625,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.053,12.000,99.976,99.976,100.029,371.363,18.159,665.592,368.932,18.041,670.861,0.004,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.008,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
4.750,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.054,12.000,99.975,99.976,100.029,371.363,18.159,665.592,368.932,18.041,670.861,0.004,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.009,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
4.875,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.056,12.000,99.975,99.975,100.030,371.363,18.159,665.592,368.932,18.041,670.861,0.004,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.009,0.000,0.000,0.037,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
5.000,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.057,12.000,99.974,99.975,100.031,371.363,18.159,665.592,368.932,18.041,670.861,0.004,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.009,0.000,0.000,0.036,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
5.125,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.058,12.000,99.973,99.974,100.031,371.363,18.159,665.592,368.932,18.041,670.861,0.004,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.009,0.000,0.000,0.036,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
5.250,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.059,12.000,99.973,99.973,100.032,371.363,18.159,665.592,368.932,18.041,670.861,0.004,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.009,0.000,0.000,0.036,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
5.375,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.060,12.000,99.972,99.973,100.033,371.363,18.159,665.592,368.932,18.041,670.861,0.004,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.009,0.000,0.000,0.036,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
5.500,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.062,12.000,99.972,99.972,100.033,371.363,18.159,665.592,368.932,18.041,670.861,0.004,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.010,0.000,0.000,0.036,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
5.625,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.063,12.000,99.971,99.972,100.034,371.363,18.159,665.592,368.932,18.041,670.861,0.004,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.010,0.000,0.000,0.036,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
5.750,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.064,12.000,99.971,99.971,100.035,371.363,18.159,665.592,368.932,18.041,670.861,0.004,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.010,0.000,0.000,0.036,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
5.875,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.065,12.000,99.970,99.971,100.035,371.363,18.159,665.592,368.932,18.041,670.861,0.005,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.010,0.000,0.000,0.036,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
6.000,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.066,12.000,99.970,99.970,100.036,371.363,18.159,665.592,368.932,18.041,670.861,0.005,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.010,0.000,0.000,0.036,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
6.125,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.068,12.000,99.969,99.970,100.037,371.363,18.159,665.592,368.932,18.041,670.861,0.005,0.000,0.000,-0.017,-0.004,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000,0.000,-0.011,0.000,0.000,0.036,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
